text,label
"Hello Support Team, I am facing an issue related to general banking inquiry.  This has caused financial stress. This situation is unacceptable. Please refund the deducted amount. urgent",other
"Hello Support Team, I am facing an issue related to unable to login to my account. I already contacted support but received no resolution. I am unable to continue normal banking.  Please refund the deducted amount. pls help",account
"Dear Customer Care, I am facing an issue related to loan disbursement delayed. I noticed this issue recently.  This situation is unacceptable. I request urgent assistance. pls help",loan
"Hi Team, I am facing an issue related to mobile number update issue. I noticed this issue recently. This issue is affecting my daily transactions. This is very frustrating. Please refund the deducted amount.",account
This is regarding a serious concern. I am facing an issue related to account hacked. This problem started yesterday.   I request urgent assistance. pls help,fraud
"Dear Customer Care, I am facing an issue related to unable to login to my account. This problem started yesterday.  This is very frustrating. Please refund the deducted amount. urgent",account
"Dear Customer Care, I am facing an issue related to unable to login to my account. I already contacted support but received no resolution. This issue is affecting my daily transactions.  Kindly investigate and update me.",account
This is regarding a serious concern. I am facing an issue related to unable to login to my account. I already contacted support but received no resolution. This issue is affecting my daily transactions. I am disappointed with the service. I request urgent assistance. !!!!,account
This is regarding a serious concern. I am facing an issue related to password reset not working. This problem started yesterday.  This is very frustrating. Kindly investigate and update me. asap,account
This is regarding a serious concern. I am facing an issue related to password reset not working. The issue has persisted for several days. This issue is affecting my daily transactions. I am disappointed with the service. Looking forward to quick resolution. pls help,account
"Hi Team, I am facing an issue related to incorrect EMI deduction. The issue has persisted for several days. I am extremely worried about this. I am disappointed with the service. Please resolve this immediately. urgent",loan
I am writing to report an issue. I am facing an issue related to profile update failing. I already contacted support but received no resolution. This issue is affecting my daily transactions.  Kindly investigate and update me.,account
I am writing to report an issue. I am facing an issue related to password reset not working.  This has caused financial stress. This is very frustrating. Please resolve this immediately.,account
"Hi Team, I am facing an issue related to credit limit reduced without notice. I already contacted support but received no resolution. I am unable to continue normal banking. This situation is unacceptable. I request urgent assistance. asap",credit_card
"Hello Support Team, I am facing an issue related to profile update failing. I noticed this issue recently.  This situation is unacceptable. Please resolve this immediately.",account
"Hi Team, I am facing an issue related to customer support not responding. The issue has persisted for several days.  This is very frustrating. Please refund the deducted amount. urgent",other
"Dear Customer Care, I am facing an issue related to transaction pending for long time. I already contacted support but received no resolution. I am unable to continue normal banking.  Looking forward to quick resolution. asap",payment
"Hi Team, I am facing an issue related to loan disbursement delayed. This problem started yesterday.  This situation is unacceptable. Kindly investigate and update me. asap",loan
I am writing to report an issue. I am facing an issue related to unknown deduction from account. I noticed this issue recently. This has caused financial stress. This is very frustrating. Looking forward to quick resolution.,fraud
I am writing to report an issue. I am facing an issue related to customer support not responding. The issue has persisted for several days.  This is very frustrating. I request urgent assistance. !!!!,other
"Hello Support Team, I am facing an issue related to credit card declined during payment. I already contacted support but received no resolution. This has caused financial stress. This situation is unacceptable. I request urgent assistance. asap",credit_card
"Dear Customer Care, I am facing an issue related to credit limit reduced without notice. The issue has persisted for several days. This issue is affecting my daily transactions. This is very frustrating. Please refund the deducted amount. asap",credit_card
"Dear Customer Care, I am facing an issue related to suspicious login activity.  I am extremely worried about this.  Please resolve this immediately. pls help",fraud
"Hello Support Team, I am facing an issue related to account hacked. This problem started yesterday. I am unable to continue normal banking. This is very frustrating. Looking forward to quick resolution. asap",fraud
"Dear Customer Care, I am facing an issue related to double payment charged. I already contacted support but received no resolution. This issue is affecting my daily transactions. I am disappointed with the service. Please resolve this immediately. urgent",payment
"Hello Support Team, I am facing an issue related to unexpected credit card charges. The issue has persisted for several days. This has caused financial stress. I am disappointed with the service. Please resolve this immediately.",credit_card
"Dear Customer Care, I am facing an issue related to payment not reflected. I noticed this issue recently.  This is very frustrating. I request urgent assistance. asap",payment
I am writing to report an issue. I am facing an issue related to suspicious login activity. The issue has persisted for several days. I am extremely worried about this.  I request urgent assistance. pls help,fraud
"Dear Customer Care, I am facing an issue related to incorrect EMI deduction. The issue has persisted for several days. This has caused financial stress. This situation is unacceptable. Looking forward to quick resolution. pls help",loan
This is regarding a serious concern. I am facing an issue related to someone accessed my account. I already contacted support but received no resolution. This issue is affecting my daily transactions. This situation is unacceptable. Kindly investigate and update me. urgent,fraud
This is regarding a serious concern. I am facing an issue related to credit limit reduced without notice. I noticed this issue recently. This issue is affecting my daily transactions.  Please resolve this immediately.,credit_card
"Hello Support Team, I am facing an issue related to password reset not working. The issue has persisted for several days. I am extremely worried about this. I am disappointed with the service. Please refund the deducted amount. asap",account
This is regarding a serious concern. I am facing an issue related to service quality issue. I noticed this issue recently. I am extremely worried about this. This is very frustrating. Please refund the deducted amount. pls help,other
"Hi Team, I am facing an issue related to suspicious login activity. I noticed this issue recently. This has caused financial stress. This is very frustrating. Looking forward to quick resolution. !!!!",fraud
"Hello Support Team, I am facing an issue related to international transaction not working. I noticed this issue recently. This has caused financial stress. This is very frustrating. Kindly investigate and update me. pls help",credit_card
This is regarding a serious concern. I am facing an issue related to general banking inquiry. The issue has persisted for several days. This has caused financial stress. This is very frustrating. Please refund the deducted amount.,other
"Hello Support Team, I am facing an issue related to suspicious login activity. I noticed this issue recently. I am unable to continue normal banking. This situation is unacceptable. Kindly investigate and update me. asap",fraud
I am writing to report an issue. I am facing an issue related to unable to login to my account.  I am extremely worried about this.  Looking forward to quick resolution. asap,account
I am writing to report an issue. I am facing an issue related to unauthorized transaction on my credit card. I noticed this issue recently. I am unable to continue normal banking. This is very frustrating. Please resolve this immediately. pls help,credit_card
"Hi Team, I am facing an issue related to unexpected credit card charges. I noticed this issue recently. This has caused financial stress.  Kindly investigate and update me. pls help",credit_card
"Hello Support Team, I am facing an issue related to credit limit reduced without notice. The issue has persisted for several days. This issue is affecting my daily transactions. This is very frustrating. I request urgent assistance. asap",credit_card
"Hello Support Team, I am facing an issue related to interest rate suddenly increased. The issue has persisted for several days. I am unable to continue normal banking. I am disappointed with the service. Please refund the deducted amount. asap",loan
"Hello Support Team, I am facing an issue related to profile update failing. This problem started yesterday.   Looking forward to quick resolution.",account
"Dear Customer Care, I am facing an issue related to payment failed but money deducted.  This has caused financial stress. I am disappointed with the service. Kindly investigate and update me. urgent",payment
This is regarding a serious concern. I am facing an issue related to loan approval taking too long.  This issue is affecting my daily transactions. I am disappointed with the service. Please refund the deducted amount. !!!!,loan
"Hi Team, I am facing an issue related to profile update failing.  I am unable to continue normal banking. I am disappointed with the service. Please resolve this immediately. urgent",account
"Hello Support Team, I am facing an issue related to credit limit reduced without notice.  This issue is affecting my daily transactions. This situation is unacceptable. Please resolve this immediately.",credit_card
"Hello Support Team, I am facing an issue related to account locked automatically.  This issue is affecting my daily transactions.  Looking forward to quick resolution. !!!!",account
This is regarding a serious concern. I am facing an issue related to customer support not responding. This problem started yesterday. This has caused financial stress. This situation is unacceptable. Kindly investigate and update me. urgent,other
"Dear Customer Care, I am facing an issue related to technical issue in application.  This issue is affecting my daily transactions. This situation is unacceptable. Please resolve this immediately. pls help",other
"Dear Customer Care, I am facing an issue related to loan approval taking too long. I already contacted support but received no resolution. This has caused financial stress.  Looking forward to quick resolution.",loan
This is regarding a serious concern. I am facing an issue related to loan application rejected. This problem started yesterday.  I am disappointed with the service. Please resolve this immediately. !!!!,loan
"Dear Customer Care, I am facing an issue related to interest rate suddenly increased. I noticed this issue recently. I am unable to continue normal banking. I am disappointed with the service. Looking forward to quick resolution.",loan
"Dear Customer Care, I am facing an issue related to password reset not working. I already contacted support but received no resolution.  This is very frustrating. Kindly investigate and update me. asap",account
I am writing to report an issue. I am facing an issue related to password reset not working. I already contacted support but received no resolution. I am unable to continue normal banking.  Please refund the deducted amount. pls help,account
"Dear Customer Care, I am facing an issue related to mobile number update issue. I noticed this issue recently. This issue is affecting my daily transactions.  Please refund the deducted amount. pls help",account
This is regarding a serious concern. I am facing an issue related to payment failed but money deducted.   This is very frustrating. Looking forward to quick resolution. !!!!,payment
"Hi Team, I am facing an issue related to unexpected credit card charges.   I am disappointed with the service. Please resolve this immediately. pls help",credit_card
"Hello Support Team, I am facing an issue related to general banking inquiry.  I am extremely worried about this. This situation is unacceptable. Please refund the deducted amount. urgent",other
I am writing to report an issue. I am facing an issue related to international transaction not working. This problem started yesterday. This issue is affecting my daily transactions. This is very frustrating. I request urgent assistance. asap,credit_card
"Dear Customer Care, I am facing an issue related to loan disbursement delayed. I already contacted support but received no resolution. This issue is affecting my daily transactions.  Please resolve this immediately. asap",loan
"Hi Team, I am facing an issue related to suspicious login activity. The issue has persisted for several days. I am unable to continue normal banking. This situation is unacceptable. Looking forward to quick resolution. asap",fraud
"Hi Team, I am facing an issue related to loan disbursement delayed.   This situation is unacceptable. I request urgent assistance. !!!!",loan
"Dear Customer Care, I am facing an issue related to customer support not responding.  This issue is affecting my daily transactions. This is very frustrating. Please refund the deducted amount.",other
"Hello Support Team, I am facing an issue related to unauthorized transaction on my credit card. The issue has persisted for several days. I am unable to continue normal banking.  I request urgent assistance. asap",credit_card
"Dear Customer Care, I am facing an issue related to profile update failing. The issue has persisted for several days. I am unable to continue normal banking. I am disappointed with the service. I request urgent assistance. asap",account
I am writing to report an issue. I am facing an issue related to interest rate suddenly increased.  I am unable to continue normal banking. I am disappointed with the service. I request urgent assistance. urgent,loan
I am writing to report an issue. I am facing an issue related to loan application rejected.  This issue is affecting my daily transactions. I am disappointed with the service. Please resolve this immediately.,loan
This is regarding a serious concern. I am facing an issue related to incorrect EMI deduction. The issue has persisted for several days. I am extremely worried about this. I am disappointed with the service. Please refund the deducted amount.,loan
"Hello Support Team, I am facing an issue related to transaction pending for long time.    Looking forward to quick resolution. !!!!",payment
"Dear Customer Care, I am facing an issue related to unknown deduction from account. This problem started yesterday. This issue is affecting my daily transactions.  Looking forward to quick resolution. urgent",fraud
This is regarding a serious concern. I am facing an issue related to loan disbursement delayed. I noticed this issue recently. This issue is affecting my daily transactions. This situation is unacceptable. Looking forward to quick resolution. urgent,loan
I am writing to report an issue. I am facing an issue related to mobile app crashing frequently. I already contacted support but received no resolution. This issue is affecting my daily transactions. I am disappointed with the service. Please refund the deducted amount. !!!!,other
"Hi Team, I am facing an issue related to credit card declined during payment.   I am disappointed with the service. Looking forward to quick resolution. pls help",credit_card
"Hi Team, I am facing an issue related to profile update failing. I noticed this issue recently. This has caused financial stress. This is very frustrating. Kindly investigate and update me. !!!!",account
"Dear Customer Care, I am facing an issue related to loan disbursement delayed. I noticed this issue recently. I am extremely worried about this. I am disappointed with the service. I request urgent assistance.",loan
"Dear Customer Care, I am facing an issue related to incorrect EMI deduction. The issue has persisted for several days. This has caused financial stress. This situation is unacceptable. Kindly investigate and update me. !!!!",loan
This is regarding a serious concern. I am facing an issue related to profile update failing. I already contacted support but received no resolution. I am extremely worried about this. I am disappointed with the service. Kindly investigate and update me. !!!!,account
I am writing to report an issue. I am facing an issue related to unknown deduction from account. I noticed this issue recently. I am unable to continue normal banking. This situation is unacceptable. I request urgent assistance. pls help,fraud
"Hi Team, I am facing an issue related to technical issue in application. The issue has persisted for several days. I am extremely worried about this. I am disappointed with the service. Kindly investigate and update me. urgent",other
This is regarding a serious concern. I am facing an issue related to loan disbursement delayed. This problem started yesterday.  This situation is unacceptable. Kindly investigate and update me. asap,loan
This is regarding a serious concern. I am facing an issue related to general banking inquiry. The issue has persisted for several days. I am extremely worried about this. This is very frustrating. Please resolve this immediately. !!!!,other
"Dear Customer Care, I am facing an issue related to mobile number update issue. The issue has persisted for several days.   Please refund the deducted amount.",account
"Dear Customer Care, I am facing an issue related to password reset not working. I noticed this issue recently. I am unable to continue normal banking. This is very frustrating. I request urgent assistance.",account
This is regarding a serious concern. I am facing an issue related to unknown deduction from account. I noticed this issue recently. This issue is affecting my daily transactions. This situation is unacceptable. Kindly investigate and update me. pls help,fraud
This is regarding a serious concern. I am facing an issue related to double payment charged.  This issue is affecting my daily transactions. I am disappointed with the service. Please resolve this immediately. pls help,payment
"Hi Team, I am facing an issue related to interest rate suddenly increased. I noticed this issue recently. I am extremely worried about this.  Please refund the deducted amount.",loan
"Hello Support Team, I am facing an issue related to interest rate suddenly increased. This problem started yesterday. This issue is affecting my daily transactions.  Kindly investigate and update me. urgent",loan
I am writing to report an issue. I am facing an issue related to interest rate suddenly increased.  I am unable to continue normal banking. This situation is unacceptable. I request urgent assistance. pls help,loan
"Dear Customer Care, I am facing an issue related to payment not reflected. I noticed this issue recently. I am unable to continue normal banking.  I request urgent assistance.",payment
This is regarding a serious concern. I am facing an issue related to suspicious login activity. The issue has persisted for several days.  This situation is unacceptable. Kindly investigate and update me.,fraud
"Hi Team, I am facing an issue related to payment not reflected.  I am extremely worried about this.  Please resolve this immediately. urgent",payment
This is regarding a serious concern. I am facing an issue related to profile update failing. This problem started yesterday. This issue is affecting my daily transactions. This situation is unacceptable. Looking forward to quick resolution. urgent,account
"Hi Team, I am facing an issue related to credit limit reduced without notice. I noticed this issue recently. This issue is affecting my daily transactions. This is very frustrating. I request urgent assistance. urgent",credit_card
"Hi Team, I am facing an issue related to fraudulent transaction detected. The issue has persisted for several days. I am extremely worried about this. This is very frustrating. Please refund the deducted amount. urgent",fraud
"Hi Team, I am facing an issue related to unknown deduction from account. I already contacted support but received no resolution. I am unable to continue normal banking. This situation is unacceptable. I request urgent assistance. !!!!",fraud
This is regarding a serious concern. I am facing an issue related to suspicious login activity. I already contacted support but received no resolution. I am unable to continue normal banking. This situation is unacceptable. I request urgent assistance. urgent,fraud
"Dear Customer Care, I am facing an issue related to unable to login to my account. I noticed this issue recently. This issue is affecting my daily transactions. This situation is unacceptable. Kindly investigate and update me. pls help",account
"Hello Support Team, I am facing an issue related to technical issue in application. I already contacted support but received no resolution.  I am disappointed with the service. Please resolve this immediately. asap",other
"Hi Team, I am facing an issue related to interest rate suddenly increased. I already contacted support but received no resolution.  This is very frustrating. Looking forward to quick resolution. !!!!",loan
I am writing to report an issue. I am facing an issue related to incorrect EMI deduction. The issue has persisted for several days. This issue is affecting my daily transactions.  Kindly investigate and update me. urgent,loan
"Hi Team, I am facing an issue related to password reset not working. This problem started yesterday. I am extremely worried about this. This is very frustrating. I request urgent assistance. asap",account
"Hello Support Team, I am facing an issue related to international transaction not working.   This is very frustrating. I request urgent assistance.",credit_card
"Hello Support Team, I am facing an issue related to general banking inquiry.  I am extremely worried about this. This is very frustrating. I request urgent assistance. pls help",other
"Dear Customer Care, I am facing an issue related to unknown deduction from account.  This has caused financial stress. This is very frustrating. Kindly investigate and update me. pls help",fraud
I am writing to report an issue. I am facing an issue related to fraudulent transaction detected. I already contacted support but received no resolution. I am extremely worried about this. This situation is unacceptable. Please refund the deducted amount. asap,fraud
"Dear Customer Care, I am facing an issue related to credit card declined during payment. The issue has persisted for several days. This has caused financial stress. This situation is unacceptable. I request urgent assistance. urgent",credit_card
This is regarding a serious concern. I am facing an issue related to loan application rejected. I noticed this issue recently.   Please resolve this immediately. urgent,loan
"Hello Support Team, I am facing an issue related to customer support not responding. This problem started yesterday. I am unable to continue normal banking. This situation is unacceptable. Kindly investigate and update me. urgent",other
This is regarding a serious concern. I am facing an issue related to mobile app crashing frequently. The issue has persisted for several days. This has caused financial stress.  Looking forward to quick resolution. !!!!,other
This is regarding a serious concern. I am facing an issue related to general banking inquiry. This problem started yesterday. This has caused financial stress. This situation is unacceptable. Please resolve this immediately. pls help,other
"Hello Support Team, I am facing an issue related to suspicious login activity. I noticed this issue recently. This issue is affecting my daily transactions. This situation is unacceptable. Please refund the deducted amount. !!!!",fraud
This is regarding a serious concern. I am facing an issue related to loan application rejected. I already contacted support but received no resolution. I am unable to continue normal banking.  Looking forward to quick resolution. urgent,loan
This is regarding a serious concern. I am facing an issue related to international transaction not working. This problem started yesterday. This has caused financial stress. This situation is unacceptable. Please resolve this immediately. !!!!,credit_card
This is regarding a serious concern. I am facing an issue related to general banking inquiry. I noticed this issue recently. This issue is affecting my daily transactions.  Please refund the deducted amount. !!!!,other
I am writing to report an issue. I am facing an issue related to service quality issue. This problem started yesterday.  This is very frustrating. I request urgent assistance. pls help,other
I am writing to report an issue. I am facing an issue related to customer support not responding. I already contacted support but received no resolution.   I request urgent assistance. urgent,other
"Hi Team, I am facing an issue related to general banking inquiry. I noticed this issue recently. This has caused financial stress. I am disappointed with the service. Kindly investigate and update me. !!!!",other
This is regarding a serious concern. I am facing an issue related to transaction pending for long time. The issue has persisted for several days. This has caused financial stress. This is very frustrating. I request urgent assistance. asap,payment
"Hi Team, I am facing an issue related to double payment charged. The issue has persisted for several days. I am extremely worried about this. This situation is unacceptable. Looking forward to quick resolution. asap",payment
"Hi Team, I am facing an issue related to unauthorized transaction on my credit card. This problem started yesterday. This issue is affecting my daily transactions.  Please refund the deducted amount. !!!!",credit_card
"Hello Support Team, I am facing an issue related to profile update failing. I already contacted support but received no resolution. This issue is affecting my daily transactions.  I request urgent assistance. pls help",account
This is regarding a serious concern. I am facing an issue related to account hacked.  This issue is affecting my daily transactions. This situation is unacceptable. I request urgent assistance.,fraud
I am writing to report an issue. I am facing an issue related to loan approval taking too long. The issue has persisted for several days. I am unable to continue normal banking. This is very frustrating. Please refund the deducted amount.,loan
This is regarding a serious concern. I am facing an issue related to loan approval taking too long. I noticed this issue recently. This issue is affecting my daily transactions. I am disappointed with the service. I request urgent assistance. pls help,loan
"Dear Customer Care, I am facing an issue related to loan disbursement delayed.  This has caused financial stress. This situation is unacceptable. Looking forward to quick resolution. asap",loan
I am writing to report an issue. I am facing an issue related to loan approval taking too long. The issue has persisted for several days.   Looking forward to quick resolution. asap,loan
"Hello Support Team, I am facing an issue related to loan disbursement delayed. I noticed this issue recently. This has caused financial stress. This is very frustrating. Please refund the deducted amount. !!!!",loan
"Hello Support Team, I am facing an issue related to international transaction not working. The issue has persisted for several days. This issue is affecting my daily transactions. I am disappointed with the service. I request urgent assistance.",credit_card
I am writing to report an issue. I am facing an issue related to payment not reflected. I noticed this issue recently. I am unable to continue normal banking. I am disappointed with the service. I request urgent assistance. urgent,payment
This is regarding a serious concern. I am facing an issue related to unable to login to my account. This problem started yesterday. I am unable to continue normal banking.  I request urgent assistance. urgent,account
This is regarding a serious concern. I am facing an issue related to interest rate suddenly increased.  This has caused financial stress.  Looking forward to quick resolution. urgent,loan
I am writing to report an issue. I am facing an issue related to credit limit reduced without notice. This problem started yesterday. This has caused financial stress. This situation is unacceptable. Please refund the deducted amount. asap,credit_card
"Dear Customer Care, I am facing an issue related to incorrect EMI deduction. I noticed this issue recently. I am extremely worried about this.  I request urgent assistance. urgent",loan
"Dear Customer Care, I am facing an issue related to someone accessed my account. This problem started yesterday. I am unable to continue normal banking. This is very frustrating. I request urgent assistance.",fraud
"Hello Support Team, I am facing an issue related to loan application rejected. The issue has persisted for several days. I am unable to continue normal banking. This is very frustrating. Please refund the deducted amount. asap",loan
"Hello Support Team, I am facing an issue related to mobile app crashing frequently. I noticed this issue recently.  This situation is unacceptable. I request urgent assistance. !!!!",other
"Dear Customer Care, I am facing an issue related to loan application rejected. I already contacted support but received no resolution. I am unable to continue normal banking. This is very frustrating. Please refund the deducted amount. asap",loan
"Hello Support Team, I am facing an issue related to unexpected credit card charges. The issue has persisted for several days.  This situation is unacceptable. Looking forward to quick resolution.",credit_card
I am writing to report an issue. I am facing an issue related to password reset not working.  I am unable to continue normal banking. I am disappointed with the service. Please refund the deducted amount.,account
"Dear Customer Care, I am facing an issue related to unauthorized transaction on my credit card. I already contacted support but received no resolution. I am extremely worried about this. I am disappointed with the service. I request urgent assistance.",credit_card
This is regarding a serious concern. I am facing an issue related to UPI transaction stuck. This problem started yesterday. This has caused financial stress. I am disappointed with the service. Looking forward to quick resolution. !!!!,payment
This is regarding a serious concern. I am facing an issue related to fraudulent transaction detected. The issue has persisted for several days. This has caused financial stress. This situation is unacceptable. Please refund the deducted amount. asap,fraud
This is regarding a serious concern. I am facing an issue related to unexpected credit card charges. I noticed this issue recently. This issue is affecting my daily transactions. I am disappointed with the service. Kindly investigate and update me. pls help,credit_card
"Hi Team, I am facing an issue related to account hacked. The issue has persisted for several days. This has caused financial stress. This situation is unacceptable. I request urgent assistance. pls help",fraud
"Dear Customer Care, I am facing an issue related to unknown deduction from account. I already contacted support but received no resolution. I am unable to continue normal banking. This situation is unacceptable. Kindly investigate and update me. asap",fraud
"Hi Team, I am facing an issue related to account hacked.  I am extremely worried about this. This situation is unacceptable. Kindly investigate and update me. pls help",fraud
"Dear Customer Care, I am facing an issue related to account hacked. I noticed this issue recently. This has caused financial stress. This situation is unacceptable. Please resolve this immediately. pls help",fraud
I am writing to report an issue. I am facing an issue related to loan approval taking too long. The issue has persisted for several days. This has caused financial stress.  Please refund the deducted amount. asap,loan
"Hi Team, I am facing an issue related to credit card declined during payment. This problem started yesterday. This issue is affecting my daily transactions. This situation is unacceptable. I request urgent assistance. urgent",credit_card
"Dear Customer Care, I am facing an issue related to UPI transaction stuck. I noticed this issue recently. This has caused financial stress.  Please refund the deducted amount. urgent",payment
"Dear Customer Care, I am facing an issue related to fraudulent transaction detected.  I am extremely worried about this. This situation is unacceptable. Please resolve this immediately. !!!!",fraud
This is regarding a serious concern. I am facing an issue related to unauthorized transaction on my credit card. I already contacted support but received no resolution. This has caused financial stress. I am disappointed with the service. Please resolve this immediately. urgent,credit_card
This is regarding a serious concern. I am facing an issue related to account locked automatically. I already contacted support but received no resolution.  I am disappointed with the service. Please refund the deducted amount.,account
"Dear Customer Care, I am facing an issue related to UPI transaction stuck.  I am unable to continue normal banking.  I request urgent assistance.",payment
